,nearby,devices,datetime,location
298,1,Bose SoundLink,2022-05-11 17:03:57.134918,Beacon2
299,1,Passport Wallet,2022-05-11 17:03:57.141517,Beacon3
300,1,iPhone 8 Plus,2022-05-11 17:04:12.301225,Beacon1
301,1,House Keys,2022-05-11 17:04:12.309292,Beacon1
302,1,Wallet,2022-05-11 17:04:12.314031,Beacon1
303,1,Bose SoundLink,2022-05-11 17:04:12.319835,Beacon2
304,1,Passport Wallet,2022-05-11 17:04:12.326219,Beacon3
305,1,iPhone 8 Plus,2022-05-11 17:04:17.385535,Beacon1
306,1,House Keys,2022-05-11 17:04:17.393043,Beacon1
307,1,Wallet,2022-05-11 17:04:17.398409,Beacon1
308,1,Bose SoundLink,2022-05-11 17:04:17.404086,Beacon2
309,1,Passport Wallet,2022-05-11 17:04:17.408319,Beacon3
310,1,iPhone 8 Plus,2022-05-11 17:04:27.508365,Beacon1
311,1,House Keys,2022-05-11 17:04:27.514788,Beacon1
312,1,Wallet,2022-05-11 17:04:27.521196,Beacon1
313,1,Bose SoundLink,2022-05-11 17:04:27.525470,Beacon2
314,1,Passport Wallet,2022-05-11 17:04:27.530734,Beacon3
315,1,iPhone 8 Plus,2022-05-11 17:04:32.595951,Beacon1
316,1,House Keys,2022-05-11 17:04:32.602677,Beacon1
317,1,Wallet,2022-05-11 17:04:32.607710,Beacon1
318,1,Bose SoundLink,2022-05-11 17:04:32.612135,Beacon2
319,1,Passport Wallet,2022-05-11 17:04:32.616518,Beacon3
320,1,iPhone 8 Plus,2022-05-11 17:04:37.672110,Beacon1
321,1,House Keys,2022-05-11 17:04:37.679537,Beacon1
322,1,Wallet,2022-05-11 17:04:37.684936,Beacon1
323,1,Bose SoundLink,2022-05-11 17:04:37.689300,Beacon2
324,1,Passport Wallet,2022-05-11 17:04:37.694172,Beacon3
325,1,iPhone 8 Plus,2022-05-11 17:04:42.750727,Beacon1
326,1,House Keys,2022-05-11 17:04:42.759921,Beacon1
327,1,Wallet,2022-05-11 17:04:42.766233,Beacon1
328,1,Bose SoundLink,2022-05-11 17:04:42.770997,Beacon2
329,1,Passport Wallet,2022-05-11 17:04:42.777075,Beacon3
330,1,iPhone 8 Plus,2022-05-11 17:04:52.903555,Beacon1
331,1,House Keys,2022-05-11 17:04:52.909209,Beacon1
332,1,Wallet,2022-05-11 17:04:52.913487,Beacon1
333,1,Bose SoundLink,2022-05-11 17:04:52.919804,Beacon2
334,1,Passport Wallet,2022-05-11 17:04:52.927271,Beacon3
335,1,iPhone 8 Plus,2022-05-11 17:04:57.974264,Beacon1
336,1,House Keys,2022-05-11 17:04:57.981813,Beacon1
337,1,Wallet,2022-05-11 17:04:57.987209,Beacon1
338,1,Bose SoundLink,2022-05-11 17:04:57.991411,Beacon2
339,1,Passport Wallet,2022-05-11 17:04:57.996314,Beacon3
340,1,iPhone 8 Plus,2022-05-11 17:05:03.056132,Beacon1
341,1,House Keys,2022-05-11 17:05:03.063494,Beacon1
342,1,Wallet,2022-05-11 17:05:03.068882,Beacon1
343,1,Bose SoundLink,2022-05-11 17:05:03.073024,Beacon2
